Tarih;Saat;haftagunu;toplam;ruzgar
18.12.2015;0;5;30070,5;2835,6
18.12.2015;1;5;28311,5;2785,8
18.12.2015;2;5;27351,2;2729,6
18.12.2015;3;5;26740,2;2575,6
18.12.2015;4;5;26526,4;2509,1
18.12.2015;5;5;27229,9;2533,6
18.12.2015;6;5;28318,7;2386,1
18.12.2015;7;5;29790;2353,5
18.12.2015;8;5;34310,8;2268,4
18.12.2015;9;5;37336,8;2122,2
18.12.2015;10;5;38017,6;1964,8
18.12.2015;11;5;38046,9;1825,2
18.12.2015;12;5;34805;1643,5
18.12.2015;13;5;36564,5;1492,1
18.12.2015;14;5;36651,9;1449
18.12.2015;15;5;36700,3;1441
18.12.2015;16;5;38494,2;1457
18.12.2015;17;5;39242,5;1448,9
18.12.2015;18;5;37278,6;1419,9
18.12.2015;19;5;35791;1313
18.12.2015;20;5;34920;1179
18.12.2015;21;5;34063,5;1136,7
18.12.2015;22;5;34135,7;1105,5
18.12.2015;23;5;32556,9;1023,6
19.12.2015;0;6;30381,6;1065,3
19.12.2015;1;6;28633,6;1051,8
19.12.2015;2;6;27237,7;1112,1
19.12.2015;3;6;26507,6;1213,2
19.12.2015;4;6;26568,5;1281
19.12.2015;5;6;26855,2;1361,4
19.12.2015;6;6;27143;1279,2
19.12.2015;7;6;27768,4;1235,4
19.12.2015;8;6;31652;1175
19.12.2015;9;6;34988,5;1048,9
19.12.2015;10;6;36260,5;937,8
19.12.2015;11;6;36664,7;836,3
19.12.2015;12;6;35233,6;825,5
19.12.2015;13;6;35110,6;899,2
19.12.2015;14;6;34749,6;950,1
19.12.2015;15;6;34276;1063,9
19.12.2015;16;6;35606,7;1206,8
19.12.2015;17;6;36343,6;1275,2
19.12.2015;18;6;35312,1;1244,2
19.12.2015;19;6;34226,3;1152,2
19.12.2015;20;6;33387,9;1089,3
19.12.2015;21;6;32607,8;988,3
19.12.2015;22;6;32765,3;888,4
19.12.2015;23;6;30718,4;778,9
20.12.2015;0;7;29203,1;789,5
20.12.2015;1;7;27520,7;743,2
20.12.2015;2;7;26231,7;746,3
20.12.2015;3;7;25366,9;699,2
20.12.2015;4;7;25071,8;703,5
20.12.2015;5;7;25327,9;787,7
20.12.2015;6;7;25162,5;803,2
20.12.2015;7;7;24649,7;819,3
20.12.2015;8;7;25777,4;806,9
20.12.2015;9;7;27753,9;729,4
20.12.2015;10;7;29093,5;567,5
20.12.2015;11;7;30240,4;483,1
20.12.2015;12;7;29986,2;421,9
